Date,Close, Volume, Open, High, Low
2/13/2017,179.36,3092266,179.24,179.9,178.84
2/10/2017,178.68,2930498,177.37,178.8701,176.76
2/9/2017,177.21,3090208,176.17,177.8,175.91
2/8/2017,176.17,2912492,177.5,177.5,175.88
2/7/2017,178.46,3859161,176,178.62,175.9
2/6/2017,175.86,2650509,175.31,175.98,174.38
2/3/2017,175.82,3306324,175,176.34,174.89
2/2/2017,174.58,2619514,174.23,174.97,173.55
2/1/2017,174.29,2795443,175,175.7025,172.89
1/31/2017,174.52,4133448,175.05,175.58,173.61
1/30/2017,175.8,4093251,176.98,177.07,174.5768
1/27/2017,177.3,3482023,178.47,179.2,177.3
1/26/2017,178.66,3062355,178.06,178.88,177.51
1/25/2017,178.29,5917531,176.26,179.25,176.13
1/24/2017,175.9,6947945,171.36,176,171.16
1/23/2017,171.03,5432156,170.08,171.25,170.01
1/20/2017,170.55,12605330,167.81,170.64,166
1/19/2017,166.81,6726135,166.96,167.45,165.8
1/18/2017,166.8,4005403,167.45,168.59,166.69
1/17/2017,167.89,3315220,166.69,168.18,166.1201
1/13/2017,167.34,2874625,167.97,168.48,166.875
1/12/2017,167.95,2927951,167.77,168.01,165.56
1/11/2017,167.75,3599412,166.05,167.76,165.6
1/10/2017,165.52,4118192,167.98,168.09,165.34
1/9/2017,167.65,3189410,169.47,169.8,167.62
1/6/2017,169.53,2945459,168.69,169.92,167.52
1/5/2017,168.7,2682176,169.25,169.39,167.26
1/4/2017,169.26,3376634,167.77,169.87,167.36
1/3/2017,167.19,2934107,167,167.87,166.01
12/30/2016,165.99,2952198,166.44,166.7,165.5
12/29/2016,166.6,1663140,166.02,166.99,166
12/28/2016,166.19,1723593,167.29,167.74,166
12/27/2016,167.14,1397392,166.98,167.98,166.85
12/23/2016,166.71,1701208,167,167.49,166.45
12/22/2016,167.06,2781138,167.36,168.23,166.58
12/21/2016,167.33,3574850,166.25,167.94,165.25
12/20/2016,167.6,2174492,167.49,168.25,166.45
12/19/2016,166.68,2955862,166.83,167.26,166
12/16/2016,166.73,7117018,168.97,169.11,166.06
12/15/2016,168.02,3385177,168.01,169.85,167.78
12/14/2016,168.51,4046752,168.37,169.89,167.45
12/13/2016,168.29,5860952,165.68,169.952,165.68
12/12/2016,165.5,3389243,166.72,166.79,165.07
12/9/2016,166.52,3145182,165.18,166.72,164.6042
12/8/2016,165.36,3262803,164.87,166,164.22
12/7/2016,164.79,4434800,160.6,165.18,160.39
